DEBUG 2020-02-17 20:50:31,010 utils 18624 11812 (0.001) SELECT `system_slider`.`id`, `system_slider`.`name`, `system_slider`.`desc`, `system_slider`.`types`, `system_slider`.`img`, `system_slider`.`reorder`, `system_slider`.`start_time`, `system_slider`.`end_time`, `system_slider`.`target_url`, `system_slider`.`is_valid`, `system_slider`.`created_at`, `system_slider`.`updated_at` FROM `system_slider` WHERE `system_slider`.`types` = 11 ORDER BY `system_slider`.`reorder` DESC; args=(11,)
DEBUG 2020-02-17 20:50:31,012 utils 18624 11812 (0.001) SELECT `system_news`.`id`, `system_news`.`types`, `system_news`.`title`, `system_news`.`content`, `system_news`.`reorder`, `system_news`.`start_time`, `system_news`.`end_time`, `system_news`.`view_count`, `system_news`.`is_top`, `system_news`.`is_valid`, `system_news`.`created_at`, `system_news`.`updated_at` FROM `system_news` WHERE (`system_news`.`types` = 11 AND `system_news`.`is_top` = 1 AND `system_news`.`is_valid` = 1) ORDER BY `system_news`.`reorder` DESC; args=(11, True, True)
DEBUG 2020-02-17 20:50:31,015 utils 18624 11812 (0.002) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jxtj') ORDER BY `mall_product`.`reorder` DESC; args=(11, True, 'jxtj')
DEBUG 2020-02-17 20:50:31,017 utils 18624 11812 (0.001) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jstj') ORDER BY `mall_product`.`reorder` DESC; args=(11, True, 'jstj')
DEBUG 2020-02-17 20:50:33,595 utils 18624 3468 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:50:33,595 utils 18624 3468 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:50:33,608 utils 18624 3468 (0.009) SELECT COUNT(*) AS `__count` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jxtj'); args=(11, True, 'jxtj')
DEBUG 2020-02-17 20:50:33,637 utils 18624 3468 (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:50:33.636672'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:50:33.636672')
DEBUG 2020-02-17 20:50:33,696 utils 18624 11220 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:50:33,696 utils 18624 11220 (0.000) SELECT VERSION(); args=None
